,timestamp,x,y,z,clock_bias_us,distance_from_center,altitude_km
0,2022-01-20 01:05:00,5869945.04765807,-3467697.2756494586,-1215867.648114819,7.858845855817976e-07,6925280.744908789,547.2807449087892
1,2022-01-20 01:10:00,6453936.668331087,-1564654.9396566506,-1971412.7926247688,3.780897162481988e-06,6927330.798940175,549.3307989401752
2,2022-01-20 01:15:00,6436857.861473258,492791.18541996815,-2515399.0750189293,7.240069942024706e-06,6928435.233719355,550.4352337193554
3,2022-01-20 01:20:00,5823179.5496435715,2511587.841879131,-2789568.986948993,1.1476552843186716e-05,6928144.6786141675,550.1446786141674
4,2022-01-20 01:25:00,4672757.297071149,4301563.048949418,-2764649.356701868,1.6757250546095402e-05,6926860.146338363,548.8601463383632
5,2022-01-20 01:30:00,3094141.529644163,5692807.209802298,-2443083.077188445,2.212124550892187e-05,6924624.224858004,546.6242248580037
6,2022-01-20 01:35:00,1234703.8965863572,6551954.951071148,-1859086.9945984597,2.9637935951770664e-05,6921619.163649239,543.6191636492387
7,2022-01-20 01:40:00,-732475.608318509,6794770.144315944,-1075092.9353593974,3.6597583736965803e-05,6918182.322729618,540.1823227296182
8,2022-01-20 01:45:00,-2624757.1844631336,6394500.493635893,-175176.68650542287,2.7338608765633838e-05,6914453.970632499,536.4539706324991
9,2022-01-20 01:50:00,-4266205.75926752,5385954.852762708,743552.1321379647,3.2501284994876303e-05,6910997.831689172,532.9978316891725
10,2022-01-20 01:55:00,-5504955.174777052,3862061.1227711407,1581893.1018997065,6.263144613212689e-05,6908142.541824307,530.1425418243073
11,2022-01-20 02:00:00,-6226806.244965239,1966043.266897416,2248969.7579531716,6.663402403925375e-05,6906251.30673933,528.2513067393303
12,2022-01-20 02:05:00,-6366223.268866893,-122610.36729563665,2672537.0229053157,5.3169314870148725e-05,6905525.769268422,527.5257692684224
13,2022-01-20 02:10:00,-5912244.408969409,-2204997.9138312163,2806667.714509173,4.0618614870306203e-05,6906086.692987439,528.0866929874393
14,2022-01-20 02:15:00,-4909231.8027890045,-4082249.38278076,2636937.919946154,3.959902455377965e-05,6907876.555815023,529.8765558150234
15,2022-01-20 02:20:00,-3452580.475545194,-5574730.5750821745,2181935.3668709174,2.473812987418901e-05,6910772.37869068,532.7723786906796
16,2022-01-20 02:25:00,-1679124.8892671177,-6539607.466543571,1491100.8473659165,1.8425512353151747e-05,6914427.521295171,536.4275212951712
17,2022-01-20 02:30:00,245757.13590919884,-6884352.906880983,639293.7087445289,7.922709808824225e-06,6918338.526147103,540.3385261471029
18,2022-01-20 02:35:00,2143553.1673837085,-6575831.563380727,-281458.4986689922,2.2780940050759285e-06,6922109.491898256,544.1094918982564
19,2022-01-20 02:40:00,3839407.7589229126,-5642941.544386557,-1171889.8448874985,-4.865326480763294e-07,6925111.336375153,547.1113363751527
20,2022-01-20 02:45:00,5178119.262883823,-4174222.8329287083,-1936448.9299726665,-8.656930420332693e-08,6927257.019772269,549.2570197722688
21,2022-01-20 02:50:00,6037910.669635977,-2308600.900860246,-2493195.978829032,2.012157695604527e-06,6928349.6998062935,550.3496998062935
22,2022-01-20 02:55:00,6341098.962162301,-222528.76947854765,-2782548.4581809845,5.1385310598110765e-06,6928320.938243754,550.3209382437542
23,2022-01-20 03:00:00,6060797.180245503,1886704.732041161,-2773490.477948702,1.0661749398152364e-05,6927132.641811507,549.1326418115068
24,2022-01-20 03:05:00,5223174.897190489,3819400.7068310804,-2466875.4590385947,1.3023517672210683e-05,6924944.208900857,546.9442089008568
25,2022-01-20 03:10:00,3905130.9728720123,5391782.075854766,-1895326.8293484203,8.997796892002382e-06,6921966.892353717,543.9668923537172
26,2022-01-20 03:15:00,2227716.088599506,6453670.929107408,-1119944.9785584346,1.6256231670967432e-05,6918588.308868321,540.5883088683206
27,2022-01-20 03:20:00,344880.97350456053,6902643.959849156,-223866.3234355273,1.23783078309978e-05,6914879.077257681,536.8790772576807
28,2022-01-20 03:25:00,-1569713.4507249014,6694502.99511386,696420.1519108523,3.849235659995613e-05,6911249.647998735,533.2496479987353
29,2022-01-20 03:30:00,-3338701.6755937296,5848422.905737313,1541314.3681578818,3.845395239037963e-05,6908446.232290962,530.4462322909618
30,2022-01-20 03:35:00,-4798154.158262254,4444259.357720745,2219332.383927765,6.139856385759549e-05,6906457.905141264,528.4579051412642
31,2022-01-20 03:40:00,-5812146.743957065,2616268.453186454,2657029.375806123,7.526955520925897e-05,6905484.450516563,527.4844505165629
32,2022-01-20 03:45:00,-6286670.029839525,539579.2631128066,2807012.5274782493,6.327063818891469e-05,6905989.080116162,527.9890801161621
33,2022-01-20 03:50:00,-6177262.6750492565,-1587131.0108094704,2653108.802849492,5.3919912155420264e-05,6907716.360837875,529.716360837875
34,2022-01-20 03:55:00,-5493938.744276524,-3560668.00860232,2212167.029729203,3.8952006250971274e-05,6910528.385063449,532.5283850634489
35,2022-01-20 04:00:00,-4299766.753350599,-5193269.21948707,1532085.54480923,2.8514237350551694e-05,6914139.529681506,536.1395296815057
36,2022-01-20 04:05:00,-2705136.6204110216,-6330111.499945424,686553.5090584684,2.004112292069789e-05,6918051.131469798,540.0511314697983
37,2022-01-20 04:10:00,-857403.204053635,-6864459.396269024,-233015.40913002426,1.0873938737085077e-05,6921722.273989297,543.7222739892975
38,2022-01-20 04:15:00,1072899.5213454724,-6747683.254098713,-1127526.0183694996,4.409070907215032e-06,6924857.948192708,546.8579481927082
39,2022-01-20 04:20:00,2907819.983232529,-5992986.901284866,-1900844.6944650305,6.118735671578571e-07,6927085.939003086,549.0859390030857
