sat,x,y,z,clk,dist,,,,
C14,12558.78497,-17103.21852,-18078.64878,466.984601,27876.16734,,,,
C16,-4057.875476,26998.66978,32329.55149,60.387515,42315.4159,,,,
C19,-1862.044519,16687.44654,22315.26483,907.764626,27926.85314,,,,
C20,-19823.45159,15247.72201,12418.69584,-807.820898,27922.86278,,,,
C21,26966.83308,-4486.858453,5578.733461,-967.157691,27900.97225,,,,
C22,17859.35092,8549.312942,19656.15071,-959.238407,27900.02559,,,,
C23,-10491.29395,-16988.91,19496.41208,-969.916468,27906.99546,,,,
C24,13737.74094,-21086.06149,-12109.01221,-944.968362,27928.0449,,,,
C25,1038.253603,-27222.1625,6103.149068,-792.204801,27917.24432,,,,
C26,16852.79632,-4498.140467,-21803.59153,791.044964,27922.15277,,,,
C27,-21842.75233,-4758.226337,-16707.31528,664.009386,27908.43835,,,,
C28,-20630.49926,-18777.99614,-757.750617,22.795487,27907.07482,,,,
C29,7955.766447,21553.07856,-15846.98677,503.670647,27909.79049,,,,
C30,-10495.83887,11944.76519,-22934.22005,491.485101,27907.3198,,,,
C32,-26935.78924,4682.052959,-5592.884694,-959.105257,27905.89044,,,,
C33,1843.79141,-16724.81454,-22256.92212,-955.0551,27901.42595,,,,
C34,9745.928668,-12641.77876,22883.28258,-488.045898,27900.57916,,,,
C35,21009.51304,18397.44302,95.914878,100.814792,27926.23762,,,,
C36,-2007.559785,27244.33514,-5652.26608,-872.272103,27896.81353,,,,
C37,-16846.36896,2795.840808,22075.11539,-946.565124,27909.27431,,,,
C38,-13686.71251,38542.02946,-9890.400853,205.287228,42078.90401,,,,
C39,-7163.734615,24372.428,33675.67851,34.638609,42182.765,,,,
C40,-23117.83352,23995.67878,-25936.37635,237.057833,42224.66631,,,,
C41,-17557.889,-8743.308971,-19798.4794,-925.346015,27869.42239,,,,
C42,20522.58573,-14931.33567,-11547.97519,-929.242953,27883.27529,,,,
C43,-7203.801337,-21506.69739,16237.58447,-947.014529,27894.29935,,,,
C44,22155.95947,4163.518135,16464.60853,537.182891,27916.03047,,,,
C45,10546.09122,16716.5027,-19692.17668,658.247308,27900.59722,,,,
C46,-13061.50768,22030.05721,11025.39235,-123.725935,27883.43021,,,,
J01,-32153.72291,22271.43479,20772.83401,287.641839,44287.57543,,,,
J02,-34435.16852,24129.61898,8511.417578,-0.861674,42900.62438,,,,
J03,-21106.21023,20685.50338,-25430.5534,-0.213746,38988.14187,,,,
